config_id,mods,density,n_vars,k,n_traj,traj_length,klPQ,errorPQ,klQP,errorQP,hellinger,bhattacharya,jensen-shannon,count,recall,precision,fscore,dist2opt,skeleton_count,skeleton_recall,skeleton_precision,skeleton_fscore,skeleton_dist2opt,hamming,structural hamming,learning_time,k_learning_time,BIC_Score
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,1.3530496873821483,0,1.1812977421031963,0,0.5838367202379531,0.17774393242702777,0.21811593438870652,"{'tp': 4, 'tn': 42, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,12,0.0024478600007569185,7.359231455000554,16757.785179103026
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,0.885604404162224,0,1.8049652172431183,0,0.6325009141269411,0.13729230677383678,0.2604029712992476,"{'tp': 4, 'tn': 42, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,13,0.002519551999284886,7.008282521999718,17157.580257866197
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,1.31040405262412,0,1.591896070870199,0,0.6565430282763853,0.26721896032680187,0.2798512113861874,"{'tp': 5, 'tn': 42, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,"{'tp': 5, 'tn': 14, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,9,13,0.00244073700014269,7.456110885999806,17392.630417132128
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,0.8302417149606252,0,2.1403424019593364,0,0.6600089185818078,0.12913827698346267,0.2813118766790091,"{'tp': 2, 'tn': 40, 'fp': 2, 'fn': 12}",0.14285714285714285,0.5,0.22222222222222224,0.9923174278178433,"{'tp': 3, 'tn': 13, 'fp': 1, 'fn': 11}",0.21428571428571427,0.75,0.3333333333333333,0.8245283129010854,12,14,0.0026248550002492266,7.2847654039997,17088.157140956326
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,0.9019726767337519,0,1.9227805233442268,0,0.6318213695477902,0.17292922526340065,0.2568811432757915,"{'tp': 3, 'tn': 42, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,"{'tp': 3, 'tn': 14, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,11,12,0.0021517549994314322,6.34651470100107,17493.997612819272
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,2.3735550046124576,0,3.25912057287322,0,0.8445468198308776,0.2985833803067315,0.4324671268819742,"{'tp': 5, 'tn': 39, 'fp': 3, 'fn': 9}",0.35714285714285715,0.625,0.45454545454545453,0.7442380708633823,"{'tp': 8, 'tn': 14, 'fp': 0, 'fn': 6}",0.5714285714285714,1.0,0.7272727272727273,0.4285714285714286,6,12,0.0024510760013072286,7.729322045999652,17129.033955184557
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,0.9527980402553181,0,2.9076452154272916,0,0.741588323380266,0.10606015617133556,0.3511958093057317,"{'tp': 6, 'tn': 42, 'fp': 0, 'fn': 8}",0.42857142857142855,1.0,0.6,0.5714285714285714,"{'tp': 6, 'tn': 14, 'fp': 0, 'fn': 8}",0.42857142857142855,1.0,0.6,0.5714285714285714,8,12,0.0028095849993405864,7.249900164000792,17130.361440100383
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,1.2453809348393312,0,1.2101041952560831,0,0.610885551854965,0.2525544855357305,0.24487863111312277,"{'tp': 2, 'tn': 41, 'fp': 1, 'fn': 12}",0.14285714285714285,0.6666666666666666,0.23529411764705882,0.9196765674203794,"{'tp': 3, 'tn': 14, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,11,11,0.002229798999906052,6.7810052879995055,17416.470612897927
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,0.7977378662373054,0,1.199298220873088,0,0.5598780358864459,0.14230736848830952,0.20947654039453273,"{'tp': 4, 'tn': 41, 'fp': 1, 'fn': 10}",0.2857142857142857,0.8,0.4210526315789473,0.7417574277569811,"{'tp': 5, 'tn': 14, 'fp': 0, 'fn': 9}",0.35714285714285715,1.0,0.5263157894736842,0.6428571428571428,9,13,0.002445344998704968,6.9254918599999655,17549.107696241645
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,1.1371203550102276,0,1.3453920514567954,0,0.6155833602792266,0.2200131219841537,0.24923395466821072,"{'tp': 3, 'tn': 41, 'fp': 1, 'fn': 11}",0.21428571428571427,0.75,0.3333333333333333,0.8245283129010854,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,13,0.0022663050003757235,7.002937179999208,17369.690261758642
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,1.3420824635976265,0,0.8741689600933366,0,0.5867129451418592,0.290017550406684,0.22802885578942877,"{'tp': 1, 'tn': 42, 'fp': 0, 'fn': 13}",0.07142857142857142,1.0,0.13333333333333333,0.9285714285714286,"{'tp': 1, 'tn': 14, 'fp': 0, 'fn': 13}",0.07142857142857142,1.0,0.13333333333333333,0.9285714285714286,13,14,0.0018061090013361536,6.3579815849989245,17439.787157997198
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,0.8027848025870651,0,1.1605671657316627,0,0.5530470347105575,0.14396635944551123,0.20390698013467023,"{'tp': 2, 'tn': 40, 'fp': 2, 'fn': 12}",0.14285714285714285,0.5,0.22222222222222224,0.9923174278178433,"{'tp': 4, 'tn': 14, 'fp': 0, 'fn': 10}",0.2857142857142857,1.0,0.4444444444444445,0.7142857142857143,10,12,0.0023896219991002,7.165100309000991,16508.078324246584
"(3, 0.5, 4, 2, 100, 20)",3,0.5,4,2,100,20,1.3305022062386451,0,0.925008923675349,0,0.5899000754282034,0.2690332952866923,0.22969334337950903,"{'tp': 3, 'tn': 42, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,"{'tp': 3, 'tn': 14, 'fp': 0, 'fn': 11}",0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,11,14,0.00232743800006574,6.877514027999496,17136.96256806565
