config_id,mods,density,n_vars,k,n_traj,traj_length,do_learner,do_KLearner,klPQ,errorPQ,klQP,errorQP,hellinger,bhattacharya,jensen-shannon,count,recall,precision,fscore,dist2opt,skeleton_count,skeleton_recall,skeleton_precision,skeleton_fscore,skeleton_dist2opt,hamming,structural hamming,learning_time
"(3, 0.5, 4, 2, 1500, 11, True, False)",3,0.5,4,2,1500,11,True,False,1.497243576295988,0,2.4163832084836754,0,0.7150068352944212,0.2626829758122584,0.31848793010925863,"{'tp': 7, 'tn': 40, 'fp': 2, 'fn': 7}",0.5,0.7777777777777778,0.6086956521739131,0.5471587667664503,"{'tp': 8, 'tn': 13, 'fp': 1, 'fn': 6}",0.5714285714285714,0.8888888888888888,0.6956521739130435,0.4427404978089319,7,10,0.012041434994898736
"(3, 0.5, 4, 2, 1500, 11, True, False)",3,0.5,4,2,1500,11,True,False,0.7291471004205025,0,1.6567473633775667,0,0.6082123420125292,0.0968909604290329,0.24526261525784387,"{'tp': 7, 'tn': 39, 'fp': 3, 'fn': 7}",0.5,0.7,0.5833333333333334,0.5830951894845301,"{'tp': 9, 'tn': 13, 'fp': 1, 'fn': 5}",0.6428571428571429,0.9,0.75,0.37087871387849053,6,8,0.013052526002866216
"(3, 0.5, 4, 2, 1500, 11, True, False)",3,0.5,4,2,1500,11,True,False,0.651671121359678,0,1.7506841647530846,0,0.6018904762844093,0.09741502285629598,0.23704125245784974,"{'tp': 7, 'tn': 42, 'fp': 0, 'fn': 7}",0.5,1.0,0.6666666666666666,0.5,"{'tp': 7, 'tn': 14, 'fp': 0, 'fn': 7}",0.5,1.0,0.6666666666666666,0.5,7,9,0.01106509700184688
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,0.7333837020370865,0,0.9506579799949204,0,0.512281729679,0.1517172891208915,0.17544478304972408,"{'tp': 7, 'tn': 41, 'fp': 1, 'fn': 7}",0.5,0.875,0.6363636363636364,0.5153882032022076,"{'tp': 8, 'tn': 14, 'fp': 0, 'fn': 6}",0.5714285714285714,1.0,0.7272727272727273,0.4285714285714286,6,9,0.014557022004737519
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,1.4260663414124386,0,1.1900387146358942,0,0.5714602847865662,0.1885510114170382,0.2071828842015778,"{'tp': 8, 'tn': 40, 'fp': 2, 'fn': 6}",0.5714285714285714,0.8,0.6666666666666666,0.47294129592133854,"{'tp': 9, 'tn': 13, 'fp': 1, 'fn': 5}",0.6428571428571429,0.9,0.75,0.37087871387849053,6,9,0.017899672995554283
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,1.8940953723466682,0,2.123389234271662,0,0.677210827762294,0.14575157911147157,0.28073235022727,"{'tp': 11, 'tn': 41, 'fp': 1, 'fn': 3}",0.7857142857142857,0.9166666666666666,0.8461538461538461,0.22991914185509485,"{'tp': 12, 'tn': 14, 'fp': 0, 'fn': 2}",0.8571428571428571,1.0,0.923076923076923,0.1428571428571429,2,5,0.015842471999349073
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,1.7415913224973634,0,0.8138005172371094,0,0.5813339591937297,0.2534111503846088,0.2155703327038636,"{'tp': 6, 'tn': 38, 'fp': 4, 'fn': 8}",0.42857142857142855,0.6,0.5,0.6975174637562116,"{'tp': 10, 'tn': 14, 'fp': 0, 'fn': 4}",0.7142857142857143,1.0,0.8333333333333333,0.2857142857142857,4,7,0.015640907004126348
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,2.3175553896376004,0,2.089380631472525,0,0.716713925914546,0.17472122162468218,0.316321236740761,"{'tp': 6, 'tn': 39, 'fp': 3, 'fn': 8}",0.42857142857142855,0.6666666666666666,0.5217391304347826,0.6615449518785621,"{'tp': 8, 'tn': 13, 'fp': 1, 'fn': 6}",0.5714285714285714,0.8888888888888888,0.6956521739130435,0.4427404978089319,7,8,0.014052418002393097
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,0.7359816299105404,0,0.6019852004531218,0,0.4606414042766901,0.15609844488400043,0.14293489575557355,"{'tp': 6, 'tn': 40, 'fp': 2, 'fn': 8}",0.42857142857142855,0.75,0.5454545454545454,0.6237231855918921,"{'tp': 8, 'tn': 14, 'fp': 0, 'fn': 6}",0.5714285714285714,1.0,0.7272727272727273,0.4285714285714286,6,8,0.013304626001627184
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,0.9957628832642542,0,1.9369773908811805,0,0.6426051031457001,0.1666705996660354,0.2634840799734809,"{'tp': 6, 'tn': 40, 'fp': 2, 'fn': 8}",0.42857142857142855,0.75,0.5454545454545454,0.6237231855918921,"{'tp': 8, 'tn': 14, 'fp': 0, 'fn': 6}",0.5714285714285714,1.0,0.7272727272727273,0.4285714285714286,6,11,0.016497661999892443
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,1.4120314286372326,0,0.915284316272927,0,0.5442111936544194,0.15920605674173044,0.19009654362539427,"{'tp': 8, 'tn': 41, 'fp': 1, 'fn': 6}",0.5714285714285714,0.8888888888888888,0.6956521739130435,0.4427404978089319,"{'tp': 9, 'tn': 14, 'fp': 0, 'fn': 5}",0.6428571428571429,1.0,0.782608695652174,0.3571428571428571,5,7,0.012710164999589324
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,1.1290713838522886,0,1.6876963090353247,0,0.6450579922205366,0.2114375287341009,0.26928713497568607,"{'tp': 5, 'tn': 38, 'fp': 4, 'fn': 9}",0.35714285714285715,0.5555555555555556,0.43478260869565216,0.7815344972040452,"{'tp': 8, 'tn': 13, 'fp': 1, 'fn': 6}",0.5714285714285714,0.8888888888888888,0.6956521739130435,0.4427404978089319,7,14,0.012249428007635288
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,0.7756399572295898,0,0.8125690441174259,0,0.4961031906162426,0.17017482506845633,0.1645215496330681,"{'tp': 7, 'tn': 39, 'fp': 3, 'fn': 7}",0.5,0.7,0.5833333333333334,0.5830951894845301,"{'tp': 8, 'tn': 12, 'fp': 2, 'fn': 6}",0.5714285714285714,0.8,0.6666666666666666,0.47294129592133854,8,10,0.015398499002913013
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,1.7160820985738625,0,1.3913843204663503,0,0.6150576361918558,0.3187049443712527,0.23434690096534475,"{'tp': 9, 'tn': 38, 'fp': 4, 'fn': 5}",0.6428571428571429,0.6923076923076923,0.6666666666666666,0.47140807865498124,"{'tp': 10, 'tn': 11, 'fp': 3, 'fn': 4}",0.7142857142857143,0.7692307692307693,0.7407407407407408,0.3672697794960088,7,7,0.025413841009140015
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,1.0224003652671654,0,1.6855488967173249,0,0.6365697758894113,0.19458523770559158,0.2639942752911072,"{'tp': 8, 'tn': 41, 'fp': 1, 'fn': 6}",0.5714285714285714,0.8888888888888888,0.6956521739130435,0.4427404978089319,"{'tp': 9, 'tn': 14, 'fp': 0, 'fn': 5}",0.6428571428571429,1.0,0.782608695652174,0.3571428571428571,5,9,0.014341710004373454
"(3, 0.5, 4, 2, 1500, 20, True, False)",3,0.5,4,2,1500,20,True,False,1.1279226768000703,0,1.918566361633913,0,0.6525464138511828,0.2324753512900911,0.2722020899683512,"{'tp': 8, 'tn': 41, 'fp': 1, 'fn': 6}",0.5714285714285714,0.8888888888888888,0.6956521739130435,0.4427404978089319,"{'tp': 9, 'tn': 14, 'fp': 0, 'fn': 5}",0.6428571428571429,1.0,0.782608695652174,0.3571428571428571,5,7,0.010403228006907739
